ID,NOME,ENDERECO,NUMERO,BAIRRO,CEP,TELEFONE,EMAIL,LATITUDE,LONGITUDE,TIPO
13,ESF NOVO HORIZONTE,RUA GUILHERME MUNARETTO,37,LOTEAMENTO NOVO HORI,89705218,,,-27.2333315,-52.0484409,ESF
61,ESF GUILHERME REICH II,RUA VITORIA,91,GUILHERME REICH,89709172,,,-27.2461031,-52.0202689,ESF
80,ESF SALETE,RUA JOAO ZANARDI,S/N,NOSSA SENHORA DA SAL,89700396,,,-27.2167556,-52.015262,ESF
81,PS PRESIDENTE KENNEDY,PRESIDENTE KENNEDY,1,CENTRO,89725000,,,-27.2483118,-52.1186013,PS
82,PS SANTA CRUZ,RUA CLOVIS CESAR DE OLIVEIRA,S/N,SANTA CRUZ,89703142,,,-27.2249988,-52.0350825,PS
89,PS ENGENHO VELHO,ENGENHO VELHO,S/N,CENTRO,89720000,,,-27.234114,-52.201091,PS
90,PS RANCHO GRANDE,RANCHO GRANDE,S/N,RANCHO GRANDE,89715899,,,-27.3380429,-51.967781,PS
91,PS TRES DE OUTUBRO,TRES DE OUTUBRO,S/N,INTERIOR,89715899,,,-27.1243386,-51.9846434,PS
107,ESF VILA JACOB BIEZUS,RUA ANDORINHAS,S/N,JACOB BIEZUS,89712232,,,-27.2441391,-51.9539252,ESF
108,ESF GUILHERME REICH,RUA VITORIA,91,GUILHERME REICH,89709172,,,-27.2466631,-52.0200085,ESF
119,ESF JARDIM EUROPA,RUA ALEXANDRE LORENZET,319,PARQUE DE EXPOSICOES,89711226,,,-27.22889383,-52.00150967,ESF
155,ESF SAO CRISTOVAO,RUA MAURO MATIOLLO,255,SAO CRISTOVAO,89711508,,,-27.2304667,-51.9864312,ESF
168,ESF INDUSTRIARIOS,OTTO TRAMONTINI,S/N,INDUSTRIARIOS,89705070,,,-27.2349951,-52.0405281,ESF
194,PS JARDIM,RUA LEONIDAS FAVERO,S/N,JARDIM,89703024,,,-27.21589969,-52.02835321,PS
195,ESF NACOES,RUA BOLIVIA,S/N,NACOES,89708184,,,-27.2441305,-52.032473,ESF
198,PS BARRA BONITA,BARRA BONITA,S/N,INTERIOR,89715899,,,-27.2657536,-51.9119779,PS
200,ESF CRISTAL,RUA PEDRO RUBINI,30,CRISTAL,89707148,,,-27.2425278,-52.0509926,ESF
201,ESF VISTA ALEGRE,MARIO DALFOVO,186,VISTA ALEGRE,89701044,,,-27.2247233,-52.0253905,ESF
202,PS BARRA DO TIGRE,BARRA DO TIGRE,S/N,INTERIOR,89700995,,,-27.2874049,-51.8702276,PS
203,PS SAO LUIS,SAO LUIZ,S/N,CENTRO,89715899,,,-27.3267388,-52.0593599,PS
204,PS SEDE BRUM,SEDE BRUM,S/N,CENTRO,89715899,,,-27.2867648,-52.0869413,PS
248,PS TAMANDUA,TAMANDUA,S/N,INTERIOR,89700991,,,-27.3025472,-51.9976974,PS
254,PS CACHIMBO,CACHIMBO,3,INTERIOR,89715899,,,-27.1803634,-51.9189932,PS
256,PS TIRADENTES,TIRADENTES,S/N,CENTRO,89715899,,,-27.2392716,-51.8853275,PS
257,PS TERRA VERMELHA,TERRA VERMELHA,S/N,CENTRO,89715899,,,-27.2946786,-52.2271415,PS
258,ESF PLANALTO,CORONEL PASSOS MAIA,504,PLANALTO,89715899,,,-27.23406435,-52.0283103,ESF
260,PS SAO PAULO,SAO PAULO,11,CENTRO,89715899,,,-27.1250133,-52.3727026,PS
262,ESF SANTO ANTONIO,DISTRITO SANTO ANTONIO,S/N,CENTRO,89700990,,,-27.19669192,-52.10673809,ESF
279,ESF NAZARE,RUA VEREADOR JACOB SELBACH,776,NAZARE,89707006,,,-27.2352949,-52.0353003,ESF
307,ESF ESTADOS,RUA RIO GRANDE DO SUL,111,ESTADOS,89703488,,,-27.2552449,-52.502155,ESF
321,ESF PETROPOLIS,RUA DAS ERVEIRAS,140,PETROPOLIS,89703288,,,-27.22332237,-52.04730034,ESF
356,CENTRO DE SAUDE BASICA CONCORDIA,RUA ALEXANDRE LORENZET,319,PARQUE DE EXPOSICAO,89711226,,,-27.22908463,-52.00110197,OUTROS
