ID,NOME,TIPO,ENDERECO,BAIRRO,CEP,LAT,LON,WKT
13,"ESF NOVO HORIZONTE","ESF","RUA GUILHERME MUNARETTO","LOTEAMENTO NOVO HORI",89705218,-27.2333315,-52.0484409,"POINT (-52.0484409 -27.2333315)"
61,"ESF GUILHERME REICH II","ESF","RUA VITORIA","GUILHERME REICH",89709172,-27.2461031,-52.0202689,"POINT (-52.0202689 -27.2461031)"
80,"ESF SALETE","ESF","RUA JOAO ZANARDI","NOSSA SENHORA DA SAL",89700396,-27.2167556,-52.015262,"POINT (-52.015262 -27.2167556)"
81,"PS PRESIDENTE KENNEDY","PS","PRESIDENTE KENNEDY","CENTRO",89725000,-27.2483118,-52.1186013,"POINT (-52.1186013 -27.2483118)"
82,"PS SANTA CRUZ","PS","RUA CLOVIS CESAR DE OLIVEIRA","SANTA CRUZ",89703142,-27.2249988,-52.0350825,"POINT (-52.0350825 -27.2249988)"
89,"PS ENGENHO VELHO","PS","ENGENHO VELHO","CENTRO",89720000,-27.234114,-52.201091,"POINT (-52.201091 -27.234114)"
90,"PS RANCHO GRANDE","PS","RANCHO GRANDE","RANCHO GRANDE",89715899,-27.3380429,-51.967781,"POINT (-51.967781 -27.3380429)"
91,"PS TRES DE OUTUBRO","PS","TRES DE OUTUBRO","INTERIOR",89715899,-27.1243386,-51.9846434,"POINT (-51.9846434 -27.1243386)"
107,"ESF VILA JACOB BIEZUS","ESF","RUA ANDORINHAS","JACOB BIEZUS",89712232,-27.2441391,-51.9539252,"POINT (-51.9539252 -27.2441391)"
108,"ESF GUILHERME REICH","ESF","RUA VITORIA","GUILHERME REICH",89709172,-27.2466631,-52.0200085,"POINT (-52.0200085 -27.2466631)"
119,"ESF JARDIM EUROPA","ESF","RUA ALEXANDRE LORENZET","PARQUE DE EXPOSICOES",89711226,-27.22889383,-52.00150967,"POINT (-52.00150967 -27.22889383)"
155,"ESF SAO CRISTOVAO","ESF","RUA MAURO MATIOLLO","SAO CRISTOVAO",89711508,-27.2304667,-51.9864312,"POINT (-51.9864312 -27.2304667)"
168,"ESF INDUSTRIARIOS","ESF","OTTO TRAMONTINI","INDUSTRIARIOS",89705070,-27.2349951,-52.0405281,"POINT (-52.0405281 -27.2349951)"
194,"PS JARDIM","PS","RUA LEONIDAS FAVERO","JARDIM",89703024,-27.21589969,-52.02835321,"POINT (-52.02835321 -27.21589969)"
195,"ESF NACOES","ESF","RUA BOLIVIA","NACOES",89708184,-27.2441305,-52.032473,"POINT (-52.032473 -27.2441305)"
198,"PS BARRA BONITA","PS","BARRA BONITA","INTERIOR",89715899,-27.2657536,-51.9119779,"POINT (-51.9119779 -27.2657536)"
200,"ESF CRISTAL","ESF","RUA PEDRO RUBINI","CRISTAL",89707148,-27.2425278,-52.0509926,"POINT (-52.0509926 -27.2425278)"
201,"ESF VISTA ALEGRE","ESF","MARIO DALFOVO","VISTA ALEGRE",89701044,-27.2247233,-52.0253905,"POINT (-52.0253905 -27.2247233)"
202,"PS BARRA DO TIGRE","PS","BARRA DO TIGRE","INTERIOR",89700995,-27.2874049,-51.8702276,"POINT (-51.8702276 -27.2874049)"
203,"PS SAO LUIS","PS","SAO LUIZ","CENTRO",89715899,-27.3267388,-52.0593599,"POINT (-52.0593599 -27.3267388)"
204,"PS SEDE BRUM","PS","SEDE BRUM","CENTRO",89715899,-27.2867648,-52.0869413,"POINT (-52.0869413 -27.2867648)"
248,"PS TAMANDUA","PS","TAMANDUA","INTERIOR",89700991,-27.3025472,-51.9976974,"POINT (-51.9976974 -27.3025472)"
254,"PS CACHIMBO","PS","CACHIMBO","INTERIOR",89715899,-27.1803634,-51.9189932,"POINT (-51.9189932 -27.1803634)"
256,"PS TIRADENTES","PS","TIRADENTES","CENTRO",89715899,-27.2392716,-51.8853275,"POINT (-51.8853275 -27.2392716)"
257,"PS TERRA VERMELHA","PS","TERRA VERMELHA","CENTRO",89715899,-27.2946786,-52.2271415,"POINT (-52.2271415 -27.2946786)"
258,"ESF PLANALTO","ESF","CORONEL PASSOS MAIA","PLANALTO",89715899,-27.23406435,-52.0283103,"POINT (-52.0283103 -27.23406435)"
260,"PS SAO PAULO","PS","SAO PAULO","CENTRO",89715899,-27.1250133,-52.3727026,"POINT (-52.3727026 -27.1250133)"
262,"ESF SANTO ANTONIO","ESF","DISTRITO SANTO ANTONIO","CENTRO",89700990,-27.19669192,-52.10673809,"POINT (-52.10673809 -27.19669192)"
279,"ESF NAZARE","ESF","RUA VEREADOR JACOB SELBACH","NAZARE",89707006,-27.2352949,-52.0353003,"POINT (-52.0353003 -27.2352949)"
307,"ESF ESTADOS","ESF","RUA RIO GRANDE DO SUL","ESTADOS",89703488,-27.2552449,-52.502155,"POINT (-52.502155 -27.2552449)"
321,"ESF PETROPOLIS","ESF","RUA DAS ERVEIRAS","PETROPOLIS",89703288,-27.22332237,-52.04730034,"POINT (-52.04730034 -27.22332237)"
356,"CENTRO DE SAUDE BASICA CONCORDIA","OUTROS","RUA ALEXANDRE LORENZET","PARQUE DE EXPOSICAO",89711226,-27.22908463,-52.00110197,"POINT (-52.00110197 -27.22908463)"
